table.gene	log*sign
RNF130	-5,819161371
RAD1	5,818559492
ERBB3	-5,817803107
CX3CL1	-5,814888003
F5	-5,813897175
ADAMTSL1	5,812368097
MRPL44	5,811079777
NHP2	5,808705642
PTK2B	-5,805828302
GLT8D2	5,805509008
TSPAN2	-5,803616362
CBFA2T3	-5,802430636
DAGLB	5,797913104
BLNK	-5,797496176
UBA1	5,796497772
TEC	-5,79510084
OAS1	-5,794057745
TARBP2	5,79399719
CMPK2	-5,793945971
CASZ1	-5,79259541
RASGRP4	-5,79142704
PPP4C	5,790714449
STRBP	-5,787836292
MMAB	5,783973183
CDKN3	5,782109512
TPPP3	-5,780797104
L3HYPDH	5,779934138
SORBS1	-5,779020692
FHL5	-5,775102983
MRAP	5,772454178
YARS2	5,772213378
TBCD	5,770482346
CMTR1	5,767641645
SLC8A1	-5,763368411
GATAD2B	-5,761239653
MALSU1	5,758345447
CHPT1	-5,755504127
HCK	-5,750917852
RAN	5,750169467
PLCB4	-5,745248224
EXOSC1	5,742147428
ACAP3	-5,741488214
PRKCSH	5,74005272
PLK1	5,737290249
CP	-5,731227164
GNPNAT1	5,729343801
CHCHD1	5,724015314
GNAO1	-5,7239723
AHCYL2	-5,719734267
COBLL1	-5,718293335
TPBG	5,717160795
ARFGAP1	5,714213403
SLCO2B1	-5,711788811
CALML4	-5,710506914
TSPAN7	-5,709159784
CA4	-5,703290548
PCDHB15	-5,701912181
PLIN3	5,700007446
MINDY4	5,696798279
KCNN4	-5,696087169
IVNS1ABP	-5,691278465
APEX1	5,689098819
MVB12B	-5,688566487
BAX	5,678242512
NELL2	-5,671657891
PDK3	-5,671474614
SSNA1	5,67086874
SIDT1	-5,670332362
MTMR3	-5,668411976
ADAMTS7	5,667910808
PBK	5,667672275
FUCA2	5,661993083
FXN	5,658524348
S100A8	-5,657463267
CHEK1	5,653478298
PRODH	-5,65235825
PAFAH1B3	5,647312961
CST7	-5,644725678
FBP1	-5,642857055
MSR1	-5,642751144
PTGES	5,640231226
MAP7	-5,639736532
KAT2B	-5,63926248
TSPAN17	5,637675709
CHSY1	5,637504113
CEBPA	-5,633858761
TRAPPC4	5,632118361
FUCA1	-5,631695228
PDE7A	-5,631370189
DMAC1	5,627793873
NAT14	5,626217296
SIPA1L3	-5,619496109
UTP11	5,617587711
OFD1	-5,617409464
MPPED2	-5,616608904
SERPINE1	5,616580349
RASGRF2	-5,616479301
ALDH1A3	5,615834537
TBC1D30	-5,614207986
CHRDL1	-5,613079867
ANKRD44	-5,610186318
GAS1	5,608911713
ABCA6	5,60807022
ABHD6	-5,604627481
ATF5	5,604173945
GMPPA	5,60329691
ESCO1	-5,598551863
AP4M1	5,594605639
RABGAP1L	-5,5879003
CD14	-5,57970207
AMIGO2	5,578463735
