table.gene	table.logFC	table.logCPM	table.F	table.PValue	table.FDR	adjust.method	comparison	test
105	IER3	-0.193311447288075	8.10585648635116	0.054849436174341	0.816397747139221	0.950763635099397	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
106	ACSF2	1.05658739121808	6.38309358891317	2.7953435594718	0.104786048733794	0.393110956657873	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
107	CNOT11	0.250985726038681	5.54853804852387	0.152365155413558	0.69900289736507	0.891533376371387	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
108	KCNJ10	3.69698119287129	3.61864750772967	6.30963967884342	0.0196748848399666	0.168609434409919	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
109	MACO1	1.28248377016384	4.18360011414935	2.37268939714767	0.133803838485163	0.440099055835985	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
110	IKZF4	1.04617704811948	2.5901116363239	0.517870503180592	0.478063018329333	0.761283840040112	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
111	RUFY2	-1.04289640214328	3.81722914599556	2.14074433957297	0.153679703752778	0.468554507820392	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
112	PROSER2	0.714393815918868	4.07235050065036	0.26006344210213	0.613753579057992	0.850130152618575	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
113	MAP2K5	0.279447461832435	5.65830758593386	0.170730875815365	0.682358707516198	0.882798255379167	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
114	RPA2	1.2509198926595	5.22259717598861	3.81605462727288	0.0600057233199604	0.301408286212155	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
115	FBXL17	-0.300325504975243	5.10275568398013	0.150466569607218	0.700788630163576	0.892447395418646	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
116	PBDC1	-0.387640375215642	5.98606433492234	0.352112156285097	0.557302618565165	0.816530666246534	BH	-1*groupCardiac_Myocyte:m 1*groupMeningeal_cells:m	glm
